"Name","Version","License","Author","URL"
"Babel","2.12.1","BSD License","Armin Ronacher","https://babel.pocoo.org/"
"Flask","2.2.3","BSD License","Armin Ronacher","https://palletsprojects.com/p/flask"
"Jinja2","3.1.2","BSD License","Armin Ronacher","https://palletsprojects.com/p/jinja/"
"Mako","1.2.4","MIT License","Mike Bayer","https://www.makotemplates.org/"
"MarkupSafe","2.1.2","BSD License","Armin Ronacher","https://palletsprojects.com/p/markupsafe/"
"Pillow","9.4.0","Historical Permission Notice and Disclaimer (HPND)","Alex Clark (PIL Fork Author)","https://python-pillow.org"
"PyJWT","2.6.0","MIT License","Jose Padilla","https://github.com/jpadilla/pyjwt"
"PyPrind","2.11.2","BSD License","Sebastian Raschka","https://github.com/rasbt/pyprind"
"PySocks","1.7.1","BSD","Anorov","https://github.com/Anorov/PySocks"
"PyYAML","6.0","MIT License","Kirill Simonov","https://pyyaml.org/"
"Pygments","2.14.0","BSD License","Georg Brandl","https://pygments.org/"
"SQLAlchemy","2.0.4","MIT License","Mike Bayer","https://www.sqlalchemy.org"
"Send2Trash","1.8.0","BSD License","Andrew Senetar","https://github.com/arsenetar/send2trash"
"Unidecode","1.3.6","GNU General Public License v2 or later (GPLv2+)","Tomaz Solc","UNKNOWN"
"Werkzeug","2.2.3","BSD License","Armin Ronacher","https://palletsprojects.com/p/werkzeug/"
"Whoosh","2.7.4","BSD License","Matt Chaput","http://bitbucket.org/mchaput/whoosh"
"XlsxWriter","3.0.8","BSD License","John McNamara","https://github.com/jmcnamara/XlsxWriter"
"aiofiles","22.1.0","Apache Software License","Tin Tvrtkovic","https://github.com/Tinche/aiofiles"
"aiosqlite","0.18.0","MIT License","Amethyst Reese","https://aiosqlite.omnilib.dev"
"alembic","1.9.4","MIT License","Mike Bayer","https://alembic.sqlalchemy.org"
"anyio","3.6.2","MIT License","Alex Grönholm","UNKNOWN"
"appdirs","1.4.4","MIT License","Trent Mick","http://github.com/ActiveState/appdirs"
"argon2-cffi","21.3.0","MIT License","Hynek Schlawack <hs@ox.cx>","https://github.com/hynek/argon2-cffi/blob/main/CHANGELOG.md"
"argon2-cffi-bindings","21.2.0","MIT License","Hynek Schlawack","https://github.com/hynek/argon2-cffi-bindings"
"asteval","0.9.29","MIT License","Matthew Newville","https://github.com/newville/asteval"
"asttokens","2.2.1","Apache 2.0","Dmitry Sagalovskiy, Grist Labs","https://github.com/gristlabs/asttokens"
"astunparse","1.6.3","BSD License","UNKNOWN","https://github.com/simonpercivall/astunparse"
"async-generator","1.10","Apache Software License; MIT License","Nathaniel J. Smith","https://github.com/python-trio/async_generator"
"attrs","22.2.0","MIT License","Hynek Schlawack","https://www.attrs.org/"
"backcall","0.2.0","BSD License","Thomas Kluyver","https://github.com/takluyver/backcall"
"backports.functools-lru-cache","1.6.4","MIT License","Raymond Hettinger","https://github.com/jaraco/backports.functools_lru_cache"
"beautifulsoup4","4.11.2","MIT License","Leonard Richardson","https://www.crummy.com/software/BeautifulSoup/bs4/"
"bleach","6.0.0","Apache Software License","UNKNOWN","https://github.com/mozilla/bleach"
"blinker","1.5","MIT License","Jason Kirtland","https://blinker.readthedocs.io"
"brightway2","2.4.3","BSD License","Chris Mutel","https://github.com/brightway-lca/brightway2"
"brotlipy","0.7.0","MIT","Cory Benfield","https://github.com/python-hyper/brotlipy/"
"bw-migrations","0.2","BSD License","Chris Mutel","https://github.com/brightway-lca/bw_migrations"
"bw2analyzer","0.10","BSD License","Chris Mutel","https://bitbucket.org/cmutel/brightway2-analyzer"
"bw2calc","1.8.2","BSD License","Chris Mutel","https://bitbucket.org/cmutel/brightway2-calc"
"bw2data","3.6.6","BSD License","Chris Mutel","https://bitbucket.org/cmutel/brightway2-data"
"bw2io","0.8.8","BSD License","Chris Mutel","https://github.com/brightway-lca/brightway2-io"
"bw2parameters","0.7","BSD License","Chris Mutel","https://github.com/brightway-lca/brightway2-parameters"
"certifi","2022.12.7","Mozilla Public License 2.0 (MPL 2.0)","Kenneth Reitz","https://github.com/certifi/python-certifi"
"certipy","0.1.3","BSD License","Thomas Mendoza","https://github.com/LLNL/certipy"
"cffi","1.15.1","MIT License","Armin Rigo, Maciej Fijalkowski","http://cffi.readthedocs.org"
"charset-normalizer","2.1.1","MIT License","Ahmed TAHRI @Ousret","https://github.com/ousret/charset_normalizer"
"click","8.1.3","BSD License","Armin Ronacher","https://palletsprojects.com/p/click/"
"colorama","0.4.6","BSD License","Jonathan Hartley <tartley@tartley.com>","https://github.com/tartley/colorama"
"comm","0.1.2","BSD License","Jupyter contributors","https://github.com/ipython/comm"
"conda","23.1.0","BSD-3-Clause","Anaconda, Inc.","https://github.com/conda/conda"
"conda-package-handling","2.0.2","UNKNOWN","Anaconda, Inc.","https://github.com/conda/conda-package-handling"
"conda_package_streaming","0.7.0","BSD License","""Anaconda, Inc. & Contributors"" <conda@continuum.io>","UNKNOWN"
"contourpy","1.0.7","BSD License","Ian Thomas","UNKNOWN"
"cryptography","39.0.1","Apache Software License; BSD License","The Python Cryptographic Authority and individual contributors","https://github.com/pyca/cryptography"
"cycler","0.11.0","BSD License","Thomas A Caswell","https://github.com/matplotlib/cycler"
"debugpy","1.6.6","Eclipse Public License 2.0 (EPL-2.0); MIT License","Microsoft Corporation","https://aka.ms/debugpy"
"decorator","5.1.1","BSD License","Michele Simionato","https://github.com/micheles/decorator"
"defusedxml","0.7.1","Python Software Foundation License","Christian Heimes","https://github.com/tiran/defusedxml"
"docopt","0.6.2","MIT License","Vladimir Keleshev","http://docopt.org"
